Región;Comunas;Nivel de planificación;Tipo de planificación;Clasificación;Denominación;Estado;Fecha de inicio de vigencia;Fecha de derogación;Fecha de último hito cumplido;Fecha de desestimiento;Modificación de Límite Urbano;Evaluación Ambiental Estratégica (EAE);Fecha de inicio de EAE;Fecha de término de EAE;Consulta Indígena;Códigos de instrumentos de origen que afecta
LIBERTADOR GENERAL BERNARDO O'HIGGINS;COINCO;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE COINCO, CENTROS POBLADOS DE COINCO, COPEQUEN Y LA CRUZ DE CHILLEHUE;Derogado;08-05-1987;;;;Sin información;Sin información;;;Sin información;
METROPOLITANA DE SANTIAGO;QUINTA NORMAL;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE QUINTA NORMAL;Derogado;04-07-1987;;;;Sin información;Sin información;;;Sin información;1953, 2040, 2088, 2015
LIBERTADOR GENERAL BERNARDO O'HIGGINS;REQUINOA;Comunal;PRC;Instrumento de origen;vigente solo localidad los lirios;Derogado;23-09-1987;;;;Sin información;Sin información;;;Sin información;718
LIBERTADOR GENERAL BERNARDO O'HIGGINS;SAN FERNANDO;Comunal;PRC;Instrumento de origen;PLAN REGULADOR SAN FERNANDO;Derogado;01-12-1987;;;;Sin información;Sin información;;;Sin información;721, 722
LA ARAUCANÍA;ANGOL;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE ANGOL;Derogado;10-12-1987;;;;Sin información;Sin información;;;Sin información;1126, 1127, 1125, 1128
ANTOFAGASTA;CALAMA;Comunal;PRC;Instrumento de origen;Modifica Plan Regulador Comunal de Calama;Derogado;18-02-1988;;;;Sin información;Sin información;;;Sin información;
MAGALLANES Y ANTÁRTICA CHILENA;PUNTA ARENAS;Comunal;PRC;Instrumento de origen;APRUEBA NUEVO PLAN REGULADOR COMUNAL PUNTA ARENAS;Derogado;18-04-1988;;;;Sin información;Sin información;;;Sin información;1360, 1367, 1355, 1358, 1361, 1362, 1363, 1390, 1364, 1365, 1366, 1368, 1369, 1370
METROPOLITANA DE SANTIAGO;LO PRADO;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE LO PRADO;Derogado;25-05-1988;;;;Sin información;Sin información;;;Sin información;
ANTOFAGASTA;CALAMA;Comunal;PRC;Instrumento de origen;Modifica Plan Regulador Comunal de Calama;Derogado;06-07-1988;;;;Sin información;Sin información;;;Sin información;
COQUIMBO;COQUIMBO;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR DE TONGOY COMUNA DE COQUIMBO;Derogado;23-08-1988;;;;Sin información;Sin información;;;Sin información;
MAULE;MOLINA;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE MOLINA;Derogado;25-10-1988;;;;Sin información;Sin información;;;Sin información;809
ANTOFAGASTA;TOCOPILLA;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE TOCOPILLA;Derogado;19-11-1988;;;;Sin información;Sin información;;;Sin información;
MAULE;CAUQUENES;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE CAUQUENES;Derogado;19-12-1988;;;;Sin información;Sin información;;;Sin información;
VALPARAÍSO;PUCHUNCAVI;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE PUCHUNCAVÍ;Derogado;07-02-1989;;;;Sin información;Sin información;;;Sin información;310, 311, 312
ÑUBLE;CHILLÁN;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR DE CHILLAN;Derogado;27-06-1989;;;;Sin información;Sin información;;;Sin información;2389, 2388, 2390, 2391, 2393, 2392, 2394
ANTOFAGASTA;ANTOFAGASTA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Antofagasta;Derogado;07-08-1989;;;;Sin información;Sin información;;;Sin información;34, 35, 36
ÑUBLE;QUILLÓN;Comunal;PRC;Instrumento de origen;PLAN REGULADOR COMUNAL DE QUILLON;Derogado;25-09-1989;;;;Sin información;Sin información;;;Sin información;2411
MAULE;CURICO;Comunal;PRC;Instrumento de origen;APRUEBA NUEVO PLAN REGULADOR COMUNAL DE CURICO;Derogado;27-12-1989;;;;Sin información;Sin información;;;Sin información;801, 802
VALPARAÍSO;CASABLANCA;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE CASABLANCA;Derogado;17-02-1990;;;;Sin información;Sin información;;;Sin información;
MAULE;TALCA;Comunal;PRC;Instrumento de origen;APRUEBA NUEVO PLAN REGULADOR COMUNAL DE TALCA;Derogado;03-03-1990;;;;Sin información;Sin información;;;Sin información;774, 776
ATACAMA;CHAÑARAL;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE CHAÑARAL;Derogado;07-03-1990;;;;Sin información;Sin información;;;Sin información;
MAULE;LINARES;Comunal;PRC;Instrumento de origen;APRUEBASE PLAN REGULADOR COMUNAL DE LINARES;Derogado;06-06-1990;;;;Sin información;Sin información;;;Sin información;822, 823
MAULE;SAN JAVIER;Comunal;PRC;Instrumento de origen;APRUEBA NUEVO PLAN REGULADOR COMUNAL DE SAN JAVIER;Derogado;21-06-1990;;;;Sin información;Sin información;;;Sin información;837, 838, 839
LIBERTADOR GENERAL BERNARDO O'HIGGINS;CODEGUA;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE CODEGUA;Derogado;19-10-1990;;;;Sin información;Sin información;;;Sin información;
MAULE;TALCA;Comunal;PRC;Instrumento de origen;MODIFICA PLAN REGULADOR COMUNAL DE TALCA EN SENTIDO QUE INDICA;Derogado;20-05-1991;;;;Sin información;Sin información;;;Sin información;
LOS LAGOS;CASTRO;Comunal;PRC;Instrumento de origen;APRUEBA ORDENANZA LOCAL DEL PLAN REGULADOR COMUNAL DE CASTRO;Derogado;12-08-1991;;;;Sin información;Sin información;;;Sin información;1201
LA ARAUCANÍA;COLLIPULLI;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE COLLIPULLI;Derogado;20-08-1991;;;;Sin información;Sin información;;;Sin información;
LIBERTADOR GENERAL BERNARDO O'HIGGINS;LOLOL;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE LOLOL;Derogado;09-09-1991;;;;Sin información;Sin información;;;Sin información;
LIBERTADOR GENERAL BERNARDO O'HIGGINS;CHIMBARONGO;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE CHIMBARONGO;Derogado;08-10-1991;;;;Sin información;Sin información;;;Sin información;
COQUIMBO;ANDACOLLO;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE ANDACOLLO;Derogado;11-10-1991;;;;Sin información;Sin información;;;Sin información;
ATACAMA;CALDERA;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE CALDERA;Derogado;14-12-1991;;;;Sin información;Sin información;;;Sin información;
METROPOLITANA DE SANTIAGO;LA GRANJA;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE LA GRANJA;Derogado;21-01-1992;;;;Sin información;Sin información;;;Sin información;
VALPARAÍSO;SAN ESTEBAN;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE SAN ESTEBAN;Derogado;27-02-1992;;;;Sin información;Sin información;;;Sin información;
COQUIMBO;MONTE PATRIA;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE MONTE PATRIA;Derogado;13-04-1992;;;;Sin información;Sin información;;;Sin información;
LIBERTADOR GENERAL BERNARDO O'HIGGINS;MALLOA;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE MALLOA;Derogado;29-08-1992;;;;Sin información;Sin información;;;Sin información;
COQUIMBO;LA SERENA;Comunal;PRC;Instrumento de origen;DEJA SIN EFECTO RESOLUCION No. 7, DE 1992, Y APRUEBA PLAN REGULADOR COMUNAL DE LA SERENA;Derogado;30-12-1992;;;;Sin información;Sin información;;;Sin información;167, 168
LOS RÍOS;MAFIL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Máfil;Derogado;25-02-1993;;;;Sin información;Sin información;;;Sin información;
ATACAMA;COPIAPO;Comunal;PRC;Instrumento de origen;APRUEBA NUEVO PLAN REGULADOR COMUNAL DE COPIAPO;Derogado;14-04-1993;;;;Sin información;Sin información;;;Sin información;113, 112, 114, 115, 116, 117
METROPOLITANA DE SANTIAGO;PAINE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Paine;Derogado;07-05-1993;;;;Sin información;Sin información;;;Sin información;1675, 3280
MAULE;TALCA;Comunal;PRC;Instrumento de origen;APRUEBA SECCIONAL 01 QUE MODIFICA PLAN REGULADOR COMUNAL DE TALCA Y SU ORDENANZA EN EL SENTIDO QUE INDICA;Derogado;18-08-1993;;;;Sin información;Sin información;;;Sin información;
LIBERTADOR GENERAL BERNARDO O'HIGGINS;RENGO;Comunal;PRC;Instrumento de origen;APRUEBA EL PLAN REGULADOR COMUNAL DE RENGO;Derogado;09-10-1993;;;;Sin información;Sin información;;;Sin información;698, 699
METROPOLITANA DE SANTIAGO;CERRO NAVIA;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR DE CERRO NAVIA;Derogado;21-10-1993;;;;Sin información;Sin información;;;Sin información;1592, 2127, 2030, 1501, 1774, 1712, 1622, 2094, 1688, 2069, 1778, 1646
VALPARAÍSO;VIÑA DEL MAR;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE VIÑA DEL MAR;Derogado;12-02-1994;;;;Sin información;Sin información;;;Sin información;
MAULE;CAUQUENES;Comunal;PRC;Instrumento de origen;APRUEBA MODIFICACION PLANO REGULADOR COMUNAL DE CAUQUENES, EN EL SENTIDO QUE INDICA;Derogado;06-07-1994;;;;Sin información;Sin información;;;Sin información;
LIBERTADOR GENERAL BERNARDO O'HIGGINS;LA ESTRELLA;Comunal;PRC;Instrumento de origen;MODIFICA PLAN INTERCOMUNAL LA ESTRELLA;Derogado;26-05-1995;;;;Sin información;Sin información;;;Sin información;
ARICA Y PARINACOTA;ARICA;Comunal;PRC;Instrumento de origen;PROMULGA PLAN REGULADOR DE LA COMUNA DE ARICA;Derogado;17-06-1995;;;;Sin información;Sin información;;;Sin información;2526, 2527, 2533
LIBERTADOR GENERAL BERNARDO O'HIGGINS;PEUMO;Comunal;PRC;Instrumento de origen;MODIFICA PLAN REGULADOR COMUNAL DE PEUMO SECTOR EX ESTACION;Derogado;03-06-1996;;;;Sin información;Sin información;;;Sin información;
LOS LAGOS;CALBUCO;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE CALBUCO;Derogado;04-07-1997;;;;Sin información;Sin información;;;Sin información;
MAULE;TALCA;Comunal;PRC;Instrumento de origen;MODIFICA PLAN REGULADOR COMUNAL DE TALCA Y ORDENANZA EN SENTIDO QUE INDICA;Derogado;30-09-1997;;;;Sin información;Sin información;;;Sin información;
MAULE;TALCA;Comunal;PRC;Instrumento de origen;MODIFICA PLAN REGULADOR COMUNAL DE TALCA Y ORDENANZA EN SENTIDO QUE INDICA;Derogado;30-09-1997;;;;Sin información;Sin información;;;Sin información;
VALPARAÍSO;SAN ESTEBAN;Comunal;PRC;Instrumento de origen;PROMULGA REFORMULACIÓN AL PLAN REGULADOR COMUNAL DE SAN ESTEBAN;Derogado;12-05-1999;;;;Sin información;Sin información;;;Sin información;
LOS LAGOS;CASTRO;Comunal;PRC;Instrumento de origen;APRUEBA MODIFICACION AL PLAN REGULADOR COMUNAL DE CASTRO;Derogado;01-03-2000;;;;Sin información;Sin información;;;Sin información;
METROPOLITANA DE SANTIAGO;SAN JOAQUIN;Comunal;PRC;Instrumento de origen;Publicación PRC;Derogado;22-05-2000;;;;Sin información;Sin información;;;Sin información;1620, 1704, 1667, 2017, 2134, 1626, 1748, 1799, 2146, 1884, 2118, 2119, 2110, 1743, 1941, 2123, 1665, 1826, 2277, 2267, 2233, 2257
VALPARAÍSO;CONCON;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Viña del Mar - Seccional Lomas de Montemar;Derogado;04-06-2001;;;;Sin información;Sin información;;;Sin información;305
ANTOFAGASTA;SIERRA GORDA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Sierra Gorda;Derogado;29-06-2001;;;;Sin información;Sin información;;;Sin información;72
LOS LAGOS;CASTRO;Comunal;PRC;Instrumento de origen;APRUEBA MODIFICACION AL PLAN REGULADOR COMUNAL DE CASTRO;Derogado;04-10-2001;;;;Sin información;Sin información;;;Sin información;
MAULE;TALCA;Comunal;PRC;Instrumento de origen;PROMULGA MODIFICACION AL PLAN REGULADOR COMUNAL DE TALCA;Derogado;05-06-2002;;;;Sin información;Sin información;;;Sin información;
COQUIMBO;LA SERENA;Comunal;PRC;Instrumento de origen;PROMULGA MODIFICACION Y ACTUALIZACION PLAN REGULADOR COMUNAL DE LA SERENA;Derogado;05-08-2004;;;;Sin información;Sin información;;;Sin información;172, 170, 174, 175, 176, 178, 179, 180, 182, 183, 177, 162, 171, 173, 181
METROPOLITANA DE SANTIAGO;SAN MIGUEL;Comunal;PRC;Instrumento de origen;APRUEBA NUEVO PLAN REGULADOR COMUNAL DE SAN MIGUEL;Derogado;28-11-2005;;;;Sin información;Sin información;;;Sin información;1681, 1730
COQUIMBO;MONTE PATRIA;Comunal;PRC;Instrumento de origen;PROMULGA MODIFICACION Y ACTUALIZACION PLAN REGULADOR COMUNAL DE MONTE PATRIA;Derogado;09-11-2006;;;;Sin información;Sin información;;;Sin información;
LOS RÍOS;PAILLACO;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE PAILLACO;Derogado;07-06-2007;;;;Sin información;Sin información;;;Sin información;
MAULE;TALCA;Comunal;PRC;Instrumento de origen;APRUEBA PLAN SECCIONAL MODIFICACION PARTE DE LA ZONA ZE- I (ZONA EXPANSIÓN INDUSTRIAL);Derogado;28-01-2011;;;;Sin información;Sin información;;;Sin información;
MAULE;LINARES;Comunal;PRC;Instrumento de origen;ANULA DECLARATORIAS DE UTILIDAD PUBLICA CONTENIDAS EN EL PLAN REGULADOR DE LINARES VIGENTE Y LOS SECCIONALES 2 Y 3;Derogado;29-04-2015;;;;Sin información;Sin información;;;Sin información;
ÑUBLE;CHILLÁN;Comunal;PRC;Instrumento de origen;DEJA SIN EFECTO DECLATARORIAS DE UTILIDAD PUBLICA DE LAS SIGUIENTES VIAS CONSULTADAS EN EL PLAN REGULADOR;Derogado;09-06-2015;;;;Sin información;Sin información;;;Sin información;
ARICA Y PARINACOTA;ARICA;Comunal;PRC;Instrumento de origen;Plan Regulador de Arica;Derogado;;;;;Sin información;Sin información;;;Sin información;2466, 2467, 2468, 2469, 2470
TARAPACÁ;IQUIQUE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Iquique;Derogado;;17-02-2025;;;No procede;No procede;;;No procede;2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
ANTOFAGASTA;CALAMA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Calama;Derogado;;;;;Sin información;Sin información;;;Sin información;
VALPARAÍSO;SANTO DOMINGO;Comunal;PRC;Instrumento de origen;PLAN REGULADOR COMUNAL DE SANTO DOMINGO;Derogado;;;;;Sin información;Sin información;;;Sin información;441, 442
VALPARAÍSO;QUILPUE;Comunal;PRC;Instrumento de origen;APRUEBA PLANO REGULADOR Y ORDENANZA LOCAL DE LA COMUNA DE QUILPUÉ;Derogado;;26-07-2019;;;Procede;No procede;;;No procede;
METROPOLITANA DE SANTIAGO;TALAGANTE;Comunal;PRC;Instrumento de origen;ORDENANZA LOCAL DE URBANIZACIÓN;Derogado;;;;;Sin información;Sin información;;;Sin información;1996, 1771, 1707, 1964, 2026
METROPOLITANA DE SANTIAGO;VITACURA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Vitacura;Derogado;;;;;Sin información;Sin información;;;Sin información;1636
LA ARAUCANÍA;PUCON;Comunal;PRC;Instrumento de origen;PLANO. PLAN REGULADOR COMUNAL DE PUCÓN;Derogado;;;;;Sin información;Sin información;;;Sin información;1172
AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;AYSEN;Comunal;PRC;Instrumento de origen;ORDENANZA LOCAL DE CONSTRUCCIONES Y URBANIZACION DE LA CIUDAD DE PUERTO AISEN;Derogado;;;;;Sin información;Sin información;;;Sin información;
MAGALLANES Y ANTÁRTICA CHILENA;PORVENIR;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Porvenir;Derogado;;;;;Sin información;Sin información;;;Sin información;1373
METROPOLITANA DE SANTIAGO;TIL TIL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Til Til;Desistido;;;01-03-2022;16-02-2023;No procede;Procede;08-04-2016;20-10-2021;No procede;
LA ARAUCANÍA;LONQUIMAY;Comunal;PRC;Instrumento de origen;Actualización PRC Loquimay;Desistido;;;;;Sin información;Sin información;;;Sin información;
LA ARAUCANÍA;TEODORO SCHMIDT;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Teodoro Schmidt;Desistido;;;01-06-2023;11-07-2024;Procede;Procede;;;No procede;
AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;COCHRANE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Cochrane;Desistido;;;;;Sin información;Sin información;;;Sin información;
AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;AYSEN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Aysén;Desistido;;;;;Sin información;Sin información;;;Sin información;
MAGALLANES Y ANTÁRTICA CHILENA;LAGUNA BLANCA;Comunal;PRC;Instrumento de origen;Plan Regulador de Villa Tehuelches, Comuna de Laguna Blanca;Desistido;;;27-10-2020;22-04-2025;Procede;Procede;22-05-2015;30-04-2018;Procede;
